Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
383	33598	82	7212	82.0	95.75	7212.0	8399.5	381	25162	82	5412	82.0	95.25	5412.0	6290.5	telnet
782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	telnet
778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	telnet
383	33598	82	7212	82.0	95.75	7212.0	8399.5	381	25162	82	5412	82.0	95.25	5412.0	6290.5	telnet
946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	telnet
778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	telnet
383	33598	82	7212	82.0	95.75	7212.0	8399.5	381	25162	82	5412	82.0	95.25	5412.0	6290.5	telnet
946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	telnet
778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	telnet
469	41170	86	7572	86.0	93.8	7572.0	8234.0	381	25162	82	5412	82.0	95.25	5412.0	6290.5	telnet
946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	telnet
778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	telnet
469	41170	86	7572	86.0	93.8	7572.0	8234.0	467	30838	86	5676	86.0	93.4	5676.0	6167.6	telnet
946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	telnet
778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	telnet
469	41170	86	7572	86.0	93.8	7572.0	8234.0	467	30838	86	5676	86.0	93.4	5676.0	6167.6	telnet
