Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
11	1943	1	277	1.0	1.1	277.0	194.3	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1614	0	0	0.0	1.1	0.0	161.4	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1614	0	0	0.0	1.1	0.0	161.4	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1614	0	0	0.0	1.1	0.0	161.4	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	4	272	0	0	0.0	0.4	0.0	27.2	dns
12	1685	1	71	1.0	1.0909090909090908	71.0	153.1818181818182	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	4	272	0	0	0.0	0.4	0.0	27.2	dns
12	1685	1	71	1.0	1.0909090909090908	71.0	153.1818181818182	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
12	1685	1	71	1.0	1.0909090909090908	71.0	153.1818181818182	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
12	2014	1	71	1.0	1.0	71.0	167.83333333333334	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
12	1685	1	71	1.0	1.0909090909090908	71.0	153.1818181818182	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
12	2014	1	71	1.0	1.0	71.0	167.83333333333334	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
16	1950	4	265	4.0	1.3333333333333333	265.0	162.5	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
12	2014	1	71	1.0	1.0	71.0	167.83333333333334	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
16	1950	4	265	4.0	1.3333333333333333	265.0	162.5	10	674	5	336	5.0	0.8333333333333334	336.0	56.166666666666664	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	1	66	1.0	0.45454545454545453	66.0	30.727272727272727	dns
12	2014	1	71	1.0	1.0	71.0	167.83333333333334	5	338	0	0	0.0	0.4166666666666667	0.0	28.166666666666668	dns
16	1950	4	265	4.0	1.3333333333333333	265.0	162.5	10	674	5	336	5.0	0.8333333333333334	336.0	56.166666666666664	dns
11	1943	0	0	0.0	1.0	0.0	176.63636363636363	5	338	0	0	0.0	0.4166666666666667	0.0	28.166666666666668	dns
12	2014	1	71	1.0	1.0	71.0	167.83333333333334	5	338	0	0	0.0	0.4166666666666667	0.0	28.166666666666668	dns
16	1950	4	265	4.0	1.3333333333333333	265.0	162.5	10	674	5	336	5.0	0.8333333333333334	336.0	56.166666666666664	dns
12	2014	1	71	1.0	1.0	71.0	167.83333333333334	5	338	0	0	0.0	0.4166666666666667	0.0	28.166666666666668	dns
12	2014	1	71	1.0	1.0	71.0	167.83333333333334	5	338	0	0	0.0	0.4166666666666667	0.0	28.166666666666668	dns
16	1950	4	265	4.0	1.3333333333333333	265.0	162.5	10	674	5	336	5.0	0.8333333333333334	336.0	56.166666666666664	dns
